local_number,match_status,official_name,db_name,official_city,db_city,official_state,db_state,db_members,db_f_num,issues
2,MATCH,Teamsters LU No 2,TEAMSTERS,Butte,BUTTE,MT,MT,3073,1364,
3,MATCH,Teamsters LU No 3,TEAMSTERS,Quincy,QUINCY,MA,MA,405,46445,
5,MATCH,Teamsters LU No 5,TEAMSTERS,Baton Rouge,BATON ROUGE,LA,LA,311,38170,
6,MATCH,Teamsters LU No 6,TEAMSTERS,St. Louis,St. Louis,MO,MO,908,5879,
11,MATCH,Teamsters LU No 11,TEAMSTERS,North Haledon,NORTH HALEDON,NJ,NJ,2994,62025,
14,MATCH,Teamsters LU No 14,TEAMSTERS,Las Vegas,LAS VEGAS,NV,NV,4981,33295,
17,MATCH,Teamsters LU No 17,TEAMSTERS,Denver,DENVER,CO,CO,3571,25769,
19,MATCH,Teamsters LU No 19,TEAMSTERS,Houston,HOUSTON,TX,TX,2583,67095,
20,MATCH,Teamsters LU No 20,TEAMSTERS,Toledo,TOLEDO,OH,OH,5297,8580,
22,MATCH,Teamsters LU No 22,TEAMSTERS,Collinsville,COLLINSVILLE,VA,VA,572,58925,
24,MATCH,Teamsters LU No 24,TEAMSTERS,Akron,AKRON,OH,OH,761,22571,
25,DISCREPANCY,Teamsters LU No 25,TEAMSTERS,Boston,CHARLESTOWN,MA,MA,13652,33335,city: Boston vs CHARLESTOWN
26,MATCH,Teamsters LU No 26,TEAMSTERS,Champaign,CHAMPAIGN,IL,IL,1393,21922,
29,MATCH,Teamsters LU No 29,TEAMSTERS,Verona,VERONA,VA,VA,1334,60489,
30,MATCH,Teamsters LU No 30,TEAMSTERS,Jeannette,JEANNETTE,PA,PA,1965,36259,
35,MATCH,Teamsters LU No 35,TEAMSTERS,Trenton,TRENTON,NJ,NJ,726,43072,
38,MATCH,Teamsters LU No 38,TEAMSTERS,Everett,EVERETT,WA,WA,4584,23943,
41,MATCH,Teamsters LU No 41,TEAMSTERS,Kansas City,KANSAS CITY,MO,MO,6054,26749,
42,MATCH,Teamsters LU No 42,TEAMSTERS,Lynnfield,Lynnfield,MA,MA,744,17606,
50,MATCH,Teamsters LU No 50,TEAMSTERS,Swansea,Swansea,IL,IL,2160,11444,
52,MATCH,Teamsters LU No 52,TEAMSTERS,Valley View,VALLEY VIEW,OH,OH,1256,39065,
58,MATCH,Teamsters LU No 58,TEAMSTERS,Vancouver,VANCOUVER,WA,WA,2152,1854,
59,MATCH,Teamsters LU No 59,TEAMSTERS,New Bedford,NEW BEDFORD,MA,MA,1628,3771,
61,MATCH,Teamsters LU No 61,TEAMSTERS,Asheville,ASHEVILLE,NC,NC,1302,13418,
63,MATCH,Teamsters LU No 63,TEAMSTERS,Rialto,RIALTO,CA,CA,19199,508852,
70,MATCH,Teamsters LU No 70,TEAMSTERS,Oakland,OAKLAND,CA,CA,5342,10997,
71,MATCH,Teamsters LU No 71,TEAMSTERS,Charlotte,CHARLOTTE,NC,NC,2447,27210,
79,MATCH,Teamsters LU No 79,TEAMSTERS,Tampa,TAMPA,FL,FL,5705,35477,
81,MATCH,Teamsters LU No 81,TEAMSTERS,Portland,PORTLAND,OR,OR,239,11937,
